chrom1	mid1	chrom2	mid2	strand1	strand2	fc1	fc2	fc.mean
chr11	100156817	chr11	100754942	-	+	52.43225	47.79223	50.11224
chr2	93663925	chr2	94278385	-	-	49.67089	41.05752	45.364205
chr10	126356310	chr10	126950079	+	+	40.37553	48.51038	44.442955
chr9	30748108	chr9	31367249	-	+	28.763690000000004	56.39679	42.58024
chr7	150105362	chr7	150692825	-	-	61.94783	22.54294	42.245385
chr9	77444340	chr9	78041936	+	-	59.96497	24.4689	42.216935
chr18	75150979	chr18	75759690	-	-	27.30112	55.19709	41.249105
chr10	59707982	chr10	60297907	-	+	61.24213	21.23453	41.238330000000005
chr12	70461812	chr12	71063646	-	+	51.54651	30.13678	40.841645
chr7	149520349	chr7	150105362	+	-	19.27756	61.94783	40.612695
chr12	113790387	chr12	114394274	-	-	63.50971	17.21886	40.364284999999995
chr2	27829577	chr2	28440895	-	-	13.45606	67.204	40.330029999999994
chr4	137280877	chr4	137875606	+	+	42.68821	36.60448	39.646345
chr12	85313143	chr12	85930843	+	-	12.28821	66.84265	39.565430000000006
chr11	68779547	chr11	69392997	+	+	14.552029999999998	64.26518	39.408605
chr11	68796359	chr11	69392997	-	+	14.46053	64.26518	39.362855
chr12	85328966	chr12	85930843	+	-	10.89601	66.84265	38.869330000000005
chr12	113790387	chr12	114384473	-	+	63.50971	14.1371	38.823405
chr12	113790387	chr12	114382830	-	+	63.50971	14.110270000000002	38.80999
chr9	31367249	chr9	31966846	+	-	56.39679	21.1699	38.783345
chr5	120552946	chr5	121164514	-	-	58.67083	18.09609	38.38346
chr11	98204106	chr11	98815762	+	+	65.88831	10.05786	37.973085000000005
chr17	56096725	chr17	56692586	+	-	18.340020000000006	57.07227	37.70614500000001
chr12	113185161	chr12	113790387	-	-	11.8102	63.50971	37.659955
chr8	108939134	chr8	109526568	+	-	28.207690000000003	46.85345	37.530570000000004
chr2	28440895	chr2	29055638	-	+	67.204	7.813239999999999	37.50861999999999
chr11	97600223	chr11	98204106	-	+	9.08383	65.88831	37.486070000000005
chr11	98204106	chr11	98794607	+	+	65.88831	8.80062	37.344465
chr12	113196373	chr12	113790387	-	-	10.9906	63.50971	37.250155
chr11	69392997	chr11	69993093	+	-	64.26518	10.20805	37.236615
chr8	70757109	chr8	71361690	-	+	33.48531	40.93465	37.20998
chr2	130787785	chr2	131371296	+	+	25.62104	48.76584	37.193439999999995
chr16	10417134	chr16	11034715	+	-	12.99039	61.22009	37.10524
chr11	69392997	chr11	69985999	+	-	64.26518	9.94162	37.1034
chr11	97623126	chr11	98204106	+	+	8.25597	65.88831	37.072140000000005
chr13	55703175	chr13	56299056	+	+	24.37601	49.64824	37.012125
chr7	149502622	chr7	150105362	+	-	11.46251	61.94783	36.70517
chr5	130742750	chr5	131329407	+	-	13.8648	59.50898000000001	36.686890000000005
chr17	5429628	chr17	6019960	+	-	59.39228000000001	13.755020000000002	36.57365
chr2	27824907	chr2	28440895	-	-	5.44801	67.204	36.326004999999995
chr11	94798495	chr11	95382244	-	-	55.70014000000001	16.887	36.29357
chr8	72690822	chr8	73293460	-	-	13.34148	59.05101	36.196245
chr14	28000403	chr14	28617256	+	+	24.71634	47.5861	36.15122
chr9	77444340	chr9	78024431	+	+	59.96497	11.93711	35.95104
chr11	97586330	chr11	98204106	-	+	5.56803	65.88831	35.728170000000006
chr10	127111469	chr10	127721305	-	-	51.12743	20.20824	35.667835
chr11	69392997	chr11	69991386	+	-	64.26518	6.9600300000000015	35.612605
chr6	124980727	chr6	125572668	-	+	52.46032	18.70976	35.58504
chr10	126495432	chr10	127111469	-	-	19.9521	51.12743	35.539765
chr11	100161826	chr11	100754942	-	+	22.95848	47.79223	35.375355
chr9	121607051	chr9	122219973	+	-	49.64824	21.0655	35.35687
chr2	28440895	chr2	29048596	-	+	67.204	3.34853	35.276264999999995
chr2	27839591	chr2	28440895	+	-	3.34853	67.204	35.276264999999995
