chrom	start	end	strand	fc_P	fc_E	fc_A	PE_diff
chr2	167515971	167525600	+	105.126	1.986	47.14	103.14
chr8	121961020	121967400	+	99.1224	3.45697	35.29	95.66543
chr10	127519419	127528600	+	85.5296	2.22768	14.98	83.30192
chr10	127520153	127528600	+	85.5296	2.22768	35.49	83.30192
chr9	107670100	107674300	-	84.8437	1.84094	20.06	83.00276
chr10	80639589	80643300	+	83.0985	2.47535	39.61	80.62315
chr1	157640400	157662400	-	83.3285	4.70211	21.02	78.62639
chr7	99813600	99818574	-	78.9125	2.0718400000000003	16.97	76.84066
chr14	32971700	32983600	+	79.1253	2.87148	39.84	76.25381999999999
chr12	88607295	88609600	+	77.8389	2.19537	23.95	75.64353
chr13	8867300	8871180	-	77.0823	1.86786	23.08	75.21444000000001
chr12	103213571	103216700	+	77.6821	2.98962	31.87	74.69248
chr13	12553093	12557000	-	74.1659	1.58342	33.73	72.58247999999999
chr10	92915816	92918700	+	73.0933	1.05207	12.67	72.04123
chr5	31479300	31482937	-	71.3503	0.923161	26.02	70.42713900000001
chr2	11699412	11702000	+	71.2497	1.31513	18.59	69.93457000000001
chr13	8992800	8996085	-	70.8358	1.04669	28.08	69.78911000000001
chr4	126104500	126107800	-	69.3921	0.660412	16.01	68.731688
chr6	125298300	125300904	+	70.4496	1.75541	41.79	68.69419
chr12	7982600	7985175	+	70.9361	2.34567	46.88	68.59043
chr2	180323100	180326300	+	70.6073	2.45289	8.37	68.15441
chr4	133107200	133110576	+	71.2085	3.15607	24.18	68.05243
chr14	22650132	22654600	+	69.5502	1.51358	29.73	68.03662
chr13	55458800	55464303	-	72.6367	4.6105800000000015	29.13	68.02612
chr11	120478235	120481500	-	70.5074	2.68395	56.95	67.82345000000001
chr16	17451349	17464500	+	69.4927	2.09861	25.89	67.39409
chr16	87494100	87496919	-	68.9925	1.66403	15.65	67.32847000000001
chr14	60214800	60217800	-	69.1919	1.9377	16.32	67.2542
chr5	148672031	148675100	+	68.7347	1.81956	20.51	66.91514000000001
chr19	44627700	44630296	-	67.9482	1.19699	10.88	66.75121
chr9	108838327	108845300	+	67.304	0.799786	20.58	66.504214
chr1	167155100	167167442	-	68.0486	1.6748	17.05	66.37379999999999
chr4	155205382	155208600	+	68.7914	2.78056	16.6	66.01084
chr13	64462500	64471934	-	68.4351	2.77502	26.56	65.66008000000001
chr6	113688200	113691106	-	66.6193	1.29913	6.38	65.32016999999999
chr11	116532000	116536500	+	67.5759	2.3026	8.53	65.2733
chr17	25406700	25411224	-	68.0776	2.91993	36.38	65.15767000000001
chr5	4100800	4105700	-	66.4901	1.73387	25.62	64.75623
chr5	145946500	145953400	-	67.82	3.29591	24.02	64.52408999999999
chr5	38429200	38431700	+	65.3183	0.987618	9.89	64.330682
chr8	128945200	128949900	+	66.1479	2.21676	22.62	63.931140000000006
chr16	15861300	15863698	-	66.2899	2.67841	12.5	63.61149
chr4	129781500	129793600	+	65.918	2.36721	15.49	63.550790000000006
chr6	72047443	72061200	+	66.0196	2.49597	22.1	63.52363
chr17	85182500	85190535	-	66.1625	2.80194	19.87	63.36055999999999
